Artist,Title,DiscID
ABBA,I do i do i do 1 [бэк],34822
ABBA,I do i do i do 2 [-],14418
ABBA,I have a dream [-],14419
ABBA,I wonder [-],33241
ABBA,Knowing me knowing you (Coco)[-],14420
ABBA,"Lay your love on me [бэк,-+]",14421
ABBA,Mamma mia 1 [бэк],14423
ABBA,Mamma mia 2 [бэк],14424
ABBA,"Mamma mia 3 [remix,бэк]",14422
ABBA,Medley 1 (Попурри)[-],14425
ABBA,"Medley 2 (Попурри)[-,бэк-+,бэк-+]",14426
ABBA,Money money money [-],14427
ABBA,One of us 1 [-],14428
ABBA,One of us 2 [-],14429
ABBA,Ring ring 1 [vid],14430
ABBA,Ring ring 2 [-],14431
ABBA,"Rock me [-,бэк-+,бэк-+]",14432
ABBA,So long [-],14433
ABBA,SOS [-],14434
ABBA,Super trouper 1 [бэк],14435
ABBA,Super trouper 2 [бэк],14436
ABBA,"Take a chance on me 1 [бэк,-+]",14438
ABBA,Take a chance on me 2 [бэк],14437
ABBA,"Thank you for the music [бэк,-+]",14439
ABBA,"The way old friends do [-+,vid]",14440
ABBA,"The winner takes it all 1 [-+,vid]",14441
ABBA,"The winner takes it all 2 [-+,транск]",14443
ABBA,The winner takes it all 3 [remix],14442
ABBA,Under attack [-+],14444
ABBA,Voules vous [vid],14445
ABBA,Waterloo [-],14446
ABBA,When i kissed the teacher [-],47053
Abdul Paula,Straight up [vid],14447
Abiem Project,На горе то калина [iv],54857
Abokir,"Море Сочи Адлер рай [бэк,-+,клип]",00104
Abokir,"Чёрные глаза [бэк,-+]",19373
Abrahamyan Sofya,Я буду пить [-],42286
Abrial Gaetane,68-2008 [-],14448
Acapella,Акапелла [-],47054
AC-DC,Are you ready [-],33242
AC-DC,Back in black [-],14449
AC-DC,Hells bells [-],14450
AC-DC,Highway to hell [бэк],14451
AC-DC,"It's a long way to the top [бэк,-+]",14452
AC-DC,Rock n' roll train [-],14453
AC-DC,Shot in the dark [-],47055
AC-DC,T.N.T [-],14454
AC-DC,Thunderstruck [-],14455
AC-DC,War machine [-],14456
AC-DC,Whole lotta rosie [-],14457
AC-DC,You shook me all night long [-],14458
Ace Frehley,New York groove [-],14459
Ace of Base,"All for you 1 (All 4 you)[Martik C remix,т2,клип]",37502
Ace of Base,"All for you 2 (All 4 you)[V-Project remix,клип]",33243
